"cell","ridge","length","dist_endpoints","curvature_bylength","curvature_formula"
"Curved_test",102,0.205096327976803,0.205096324930505,1.00000001485301,0.00336259116685815
"Curved_test",104,13.4988572138202,4.85893522312245,2.7781513014585,133.116394905051
"Curved_test",105,5.72899067570738,3.52780664506999,1.62395257226285,98.2693801376264
"Curved_test",106,0.824466869260209,0.814839930599869,1.01181451509532,2.98914495462917
"Curved_test",107,0.205131677222219,0.205131677222219,1,4.78066083109578e-13
"Curved_test",109,0.292910987314608,0.253800000000005,1.15410160486447,10.622555197602
"Curved_test",112,17.9573101532034,17.9127301191778,1.00248873475618,6.4759481069587
"Curved_test",116,3.7676454653867,2.81736303349426,1.33729498846794,31.0589036984679
"Curved_test",117,1.82964229792152,1.07625102671263,1.70001445063434,94.452693015431
"Curved_test",118,0.731351339607468,0.725250000000004,1.00841273989309,3.07894926792188
