"Cell","Ridge","X","Y"
"Curved_test",8,34.1206,18.78265
"Curved_test",8,34.04805,18.6376
"Curved_test",8,33.97555,18.49255
"Curved_test",8,33.90305,18.38375
"Curved_test",8,33.83055,18.275
"Curved_test",8,33.758,17.87615
"Curved_test",8,33.68545,17.40475
"Curved_test",8,33.61295,17.1872
"Curved_test",8,33.54045,17.07845
"Curved_test",8,33.46795,16.8609
"Curved_test",8,33.3954,16.5708
"Curved_test",8,33.32285,16.2807
"Curved_test",8,33.25035,15.99065
"Curved_test",8,33.17785,15.8456
"Curved_test",8,32.74275,15.99065
"Curved_test",8,32.8515,15.91815
"Curved_test",8,32.99655,15.8456
"Curved_test",8,33.10535,15.59175
"Curved_test",8,33.0328,15.33795
"Curved_test",8,32.96025,15.26545
"Curved_test",8,32.88775,15.08415
"Curved_test",8,32.81525,14.8666
"Curved_test",8,32.74275,14.6853
"Curved_test",8,32.6702,14.54025
"Curved_test",8,32.59765,14.46775
"Curved_test",8,32.52515,14.35895
"Curved_test",8,32.45265,14.14135
"Curved_test",8,32.38015,13.9238
"Curved_test",8,32.3076,13.81505
"Curved_test",8,32.23505,13.5975
"Curved_test",8,32.16255,13.34365
"Curved_test",8,32.09005,13.16235
"Curved_test",8,32.01755,12.8723
"Curved_test",8,32.09005,12.47345
"Curved_test",8,32.01755,12.11085
"Curved_test",9,29.7694,12.5822
"Curved_test",9,29.62435,12.65475
"Curved_test",9,29.4068,12.72725
"Curved_test",10,27.66635,12.65475
"Curved_test",10,27.7751,12.72725
"Curved_test",10,27.92015,12.79975
"Curved_test",12,23.85905,12.87225
"Curved_test",13,30.20455,13.01735
"Curved_test",13,30.34955,12.9448
"Curved_test",13,30.4946,12.87225
"Curved_test",15,25.3457,13.45245
"Curved_test",16,24.8018,13.59745
"Curved_test",16,24.69305,13.67
"Curved_test",16,24.6205,13.7788
"Curved_test",17,23.714,13.81505
"Curved_test",17,23.60525,13.74255
"Curved_test",17,23.5327,13.81505
"Curved_test",17,23.46015,13.88755
"Curved_test",17,23.38765,13.96005
"Curved_test",17,23.31515,14.06885
"Curved_test",17,23.24265,14.17765
"Curved_test",19,28.5003,13.81505
"Curved_test",19,29.8419,13.81505
"Curved_test",19,31.2198,13.88755
"Curved_test",20,27.19495,13.96005
"Curved_test",20,27.08615,14.0326
"Curved_test",20,27.01365,14.10515
"Curved_test",20,26.94115,14.17765
"Curved_test",20,26.8686,14.25015
"Curved_test",20,26.79605,14.3952
"Curved_test",20,26.72355,14.5765
"Curved_test",20,26.65105,14.72155
"Curved_test",20,26.57855,14.83035
"Curved_test",20,26.50605,14.9391
"Curved_test",20,26.4335,15.04785
"Curved_test",20,26.28845,15.1204
"Curved_test",20,26.14345,15.19295
"Curved_test",20,26.4335,15.3017
"Curved_test",20,26.50605,15.51925
"Curved_test",21,29.55185,14.0326
"Curved_test",21,29.62435,14.10515
"Curved_test",22,27.73885,14.17765
"Curved_test",22,27.66635,14.43145
"Curved_test",22,27.73885,14.6853
"Curved_test",23,32.01755,15.91815
"Curved_test",23,31.945,15.8456
"Curved_test",23,31.87245,15.7368
"Curved_test",23,31.79995,15.5918
"Curved_test",23,31.72745,15.4105
"Curved_test",23,31.65495,15.26545
"Curved_test",23,31.5824,15.19295
"Curved_test",23,31.50985,15.08415
"Curved_test",23,31.43735,14.79405
"Curved_test",23,31.36485,14.649
"Curved_test",23,31.43735,14.97535
"Curved_test",23,31.3286,14.90285
"Curved_test",23,31.11105,14.97535
"Curved_test",23,30.92975,15.04785
"Curved_test",24,29.66065,14.90285
"Curved_test",24,29.84195,14.83035
"Curved_test",25,25.20065,14.90285
"Curved_test",25,25.12815,14.97535
"Curved_test",25,25.05565,15.04785
"Curved_test",26,24.40295,15.7368
"Curved_test",26,24.33045,15.62805
"Curved_test",26,24.2579,15.51925
"Curved_test",26,24.18535,15.3017
"Curved_test",27,27.08615,15.483
"Curved_test",27,27.15865,15.7731
"Curved_test",28,28.10145,15.77305
"Curved_test",28,28.17395,15.8456
"Curved_test",28,28.24645,15.91815
"Curved_test",28,28.35525,15.99065
"Curved_test",28,28.53655,16.06315
"Curved_test",28,28.6816,16.13565
"Curved_test",29,29.84195,15.91815
"Curved_test",29,29.91445,15.99065
"Curved_test",29,29.98695,16.06315
"Curved_test",30,22.95255,16.20815
"Curved_test",30,23.56895,16.13565
"Curved_test",31,25.27315,17.9849
"Curved_test",31,25.3457,17.87615
"Curved_test",31,25.41825,17.80365
"Curved_test",31,25.49075,17.69485
"Curved_test",31,25.56325,17.5498
"Curved_test",31,25.63575,17.40475
"Curved_test",31,25.7083,17.1872
"Curved_test",31,25.78085,17.0059
"Curved_test",31,25.7083,16.8971
"Curved_test",31,25.63575,16.6433
"Curved_test",31,25.56325,16.3895
"Curved_test",31,25.49075,16.24445
"Curved_test",32,32.01755,16.67955
"Curved_test",32,31.945,16.57075
"Curved_test",32,31.8362,16.49825
