Cell,Ridge, X, Y
Curved_test,8 , 33.8668 , 18.3475
Curved_test,8 , 33.9393 , 18.3475
Curved_test,8 , 33.9393 , 18.42
Curved_test,8 , 34.0118 , 18.42
Curved_test,8 , 34.0118 , 18.5651
Curved_test,8 , 34.0843 , 18.5651
Curved_test,8 , 34.0843 , 18.7101
Curved_test,8 , 34.1569 , 18.7101
Curved_test,8 , 34.1569 , 18.8552
Curved_test,8 , 34.2294 , 18.8552
Curved_test,8 , 34.2294 , 19.1452
Curved_test,8 , 34.3019 , 19.1452
Curved_test,8 , 34.3019 , 19.2903
Curved_test,8 , 34.3744 , 19.2903
Curved_test,8 , 34.3744 , 19.3628
Curved_test,8 , 34.4469 , 19.3628
Curved_test,8 , 34.4469 , 19.5078
Curved_test,8 , 34.3744 , 19.5078
Curved_test,8 , 34.3744 , 19.3628
Curved_test,8 , 34.3019 , 19.3628
Curved_test,8 , 34.3019 , 19.2903
Curved_test,8 , 34.2294 , 19.2903
Curved_test,8 , 34.2294 , 19.1452
Curved_test,8 , 34.1569 , 19.1452
Curved_test,8 , 34.1569 , 18.8552
Curved_test,8 , 34.0843 , 18.8552
Curved_test,8 , 34.0843 , 18.7101
Curved_test,8 , 34.0118 , 18.7101
Curved_test,8 , 34.0118 , 18.5651
Curved_test,8 , 33.9393 , 18.5651
Curved_test,8 , 33.9393 , 18.42
Curved_test,8 , 33.8668 , 18.42
